date,borough,food_complaints_total,rodent_complaints,food_safety_complaints
2023-05-16,STATEN ISLAND,2,0,0
2023-05-17,BRONX,6,0,0
2023-05-17,BROOKLYN,10,0,0
2023-05-17,MANHATTAN,7,0,0
2023-05-17,QUEENS,11,0,0
2023-05-18,BRONX,3,0,0
2023-05-18,BROOKLYN,10,0,0
2023-05-18,MANHATTAN,12,0,0
2023-05-18,QUEENS,10,0,0
2023-05-19,BRONX,4,0,0
2023-05-19,BROOKLYN,13,0,0
2023-05-19,MANHATTAN,12,0,0
2023-05-19,QUEENS,5,0,0
2023-05-19,STATEN ISLAND,1,0,0
2023-05-20,BRONX,3,0,0
2023-05-20,BROOKLYN,13,0,0
2023-05-20,MANHATTAN,12,0,0
2023-05-20,QUEENS,3,0,0
2023-05-20,STATEN ISLAND,2,0,0
2023-05-21,BROOKLYN,9,0,0
2023-05-21,MANHATTAN,15,0,0
2023-05-21,QUEENS,6,0,0
2023-05-21,STATEN ISLAND,5,0,0
2023-05-22,BRONX,7,0,0
2023-05-22,BROOKLYN,6,0,0
2023-05-22,MANHATTAN,20,0,0
2023-05-22,QUEENS,7,0,0
2023-05-22,STATEN ISLAND,5,0,0
2023-05-23,BRONX,3,0,0
2023-05-23,BROOKLYN,11,0,0
2023-05-23,MANHATTAN,10,0,0
2023-05-23,QUEENS,12,0,0
2023-05-24,BRONX,6,0,0
2023-05-24,BROOKLYN,9,0,0
2023-05-24,MANHATTAN,16,0,0
2023-05-24,QUEENS,11,0,0
2023-05-24,STATEN ISLAND,2,0,0
2023-05-25,BRONX,5,0,0
2023-05-25,BROOKLYN,10,0,0
2023-05-25,MANHATTAN,21,0,0
2023-05-25,QUEENS,6,0,0
2023-05-25,STATEN ISLAND,1,0,0
2023-05-26,BRONX,3,0,0
2023-05-26,BROOKLYN,13,0,0
2023-05-26,MANHATTAN,11,0,0
2023-05-26,QUEENS,13,0,0
2023-05-26,STATEN ISLAND,2,0,0
2023-05-27,BRONX,4,0,0
2023-05-27,BROOKLYN,7,0,0
2023-05-27,MANHATTAN,8,0,0
2023-05-27,QUEENS,6,0,0
2023-05-28,BRONX,4,0,0
2023-05-28,BROOKLYN,2,0,0
2023-05-28,MANHATTAN,13,0,0
2023-05-28,QUEENS,3,0,0
2023-05-28,STATEN ISLAND,2,0,0
2023-05-29,BRONX,3,0,0
2023-05-29,BROOKLYN,8,0,0
2023-05-29,MANHATTAN,5,0,0
2023-05-29,QUEENS,7,0,0
2023-05-30,BRONX,4,0,0
2023-05-30,BROOKLYN,17,0,0
2023-05-30,MANHATTAN,10,0,0
2023-05-30,QUEENS,14,0,0
2023-05-30,STATEN ISLAND,3,0,0
2023-05-31,BRONX,3,0,0
2023-05-31,BROOKLYN,10,0,0
2023-05-31,MANHATTAN,14,0,0
